Stream_Name,LTER,Latitude,Longitude,Name,drainSqKm,elevation_mean_m,major_soil,major_rock,major_land,median_q,prop_area,precip,evapotrans,temp,npp,cycle0,Max_Daylength
AAGEVEG,NIVA,58.66999613,8.980983112,Humid Continental,408,221.4382775,spodosols,metamorphic,evergreen_needleleaf_forest,9.72382635,0.599753073,3.515742648,426.3926901,5.282339746,0.693738032,98.05263158,18.24860621
ACCOTINK CREEK,USGS,38.81289066,-77.2283158,Humid Subtropical,61.90072,112.9593496,ultisols,plutonic,urban_and_built_up_land,0.29998,0.208991123,3.407227215,722.94761,13.85104605,0.645425414,86.42105263,14.83504166
Aiken Creek at F5,MCM,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
AIRE AT ARMLEY,UK,53.7514818,-1.4236897,Humid Temperate,691.5,228.1208719,inceptisols,sedimentary,cropland,8.93,0.245124621,2.649046236,1226.345737,8.465193281,8.78E-05,66,16.98579463
AIRE AT BEAL,UK,53.7231809,-1.1922027,Humid Temperate,1932.1,196.2496937,inceptisols,sedimentary,cropland,24.3,0.243262184,2.649046236,1782.432793,8.670831368,0.000103586,64.05263158,16.97984249
AL02.3M,UMR,42.1878549,-90.236955,Humid Continental,637.1,274.8449549,alfisols,carbonate_evaporite,cropland,3.7073,0.484218926,2.94067738,695.5445715,8.457085649,0.586479113,105.8421053,15.20301008
ALBION,NWT,40.04287468,-105.592296,Subarctic,7.1,3583.818182,inceptisols,plutonic,mixed_forest,0.07783582,0.717115385,1.093297169,219.0310406,0.903566976,0.170744029,150.2105263,14.96399154
ALSEK RIVER ABOVE BATES RIVER IN KLUANE NATIONAL PARK,Canada,60.1175,-137.978,Tundra,14375.8,1310.128406,inceptisols,sedimentary,tundra,78.1,0.677463642,3.597972534,494.4809828,-4.08136523,0.108983316,130.2631579,18.74543411
Alsteran Getebro,Swedish Goverment,57.0089112,16.1618816,Humid Temperate,1416.654071,47.92494136,inceptisols,plutonic,evergreen_needleleaf_forest,6.81,0.706493516,1.931275837,394.2519576,1.712458868,0.526740432,121.9473684,17.76210138
ALT AT KIRKBY,UK,53.5377554,-3.0697563,Humid Temperate,90.1,39.25438596,inceptisols,sedimentary,urban_and_built_up_land,0.952,0.245446302,3.664359685,5407.906446,9.576725467,0.000208452,62.73684211,16.94112976
ALTAMAHA RIVER,USGS,31.65466667,-81.8275,Humid Subtropical,35223.84,138.3437706,ultisols,sedimentary,evergreen_needleleaf_forest,190.176,0.139620006,3.708402053,858.2415612,18.17874109,0.649723549,78.36842105,14.17570982
Amazon River at Obidos,Amazon,-1.9359,-55.52,Humid Tropical,NA,483.4237266,ultisols,sedimentary,evergreen_broadleaf_forest,175900,0.259927943,5.924956854,325.7962994,24.63815687,0.000110181,67.52631579,12.23020727
ANDREWS CREEK,USGS,48.8229245,-120.1459245,Subarctic,57.23874,1982.647482,inceptisols,plutonic,evergreen_needleleaf_forest,0.279321,0.683850698,3.701112347,330.1991857,1.069686285,0.146374111,142.2105263,16.09382646
Angermanalven Solleftea,Swedish Goverment,63.1717178,17.2641453,Subarctic,31415.7838,461.7768491,spodosols,metamorphic,evergreen_needleleaf_forest,516,0.57592921,2.707338882,363.0370286,1.332268205,0.40388992,127.6842105,20.17306443
APALACHICOLA RIVER,USGS,29.94937094,-85.0154686,Humid Subtropical,49727.77,163.5664689,ultisols,sedimentary,cropland,537.7,0.14174371,3.994804443,844.131189,18.04066675,0.65334111,82.42105263,14.03677491
ARUN AT PALLINGHAM,UK,50.9683665,-0.5302355,Humid Temperate,379,70.17770035,alfisols,carbonate_evaporite,cropland,1.133,0.159557392,2.351490433,217.8772585,10.51727095,8.32E-05,69.47368421,16.45012873
Atalaya Aval,HYBAM,-10.67,-73.81,Tropical Savanna,192235,2928.261424,entisols,sedimentary,shrubland_grassland,4741,0.306304498,3.396856413,166.0189504,11.45106231,8.76E-05,310.5789474,12.73390774
Atran Falkenberg,Swedish Goverment,56.9031291,12.4946386,Humid Temperate,2570.9784,185.2404585,spodosols,plutonic,evergreen_needleleaf_forest,34.35,0.399325766,2.389122511,438.7276016,7.087455564,0.663355025,87.15789474,17.73356183
AVON AT BATHFORD,UK,51.4180995,-2.4874477,Humid Temperate,1552,113.63126,entisols,sedimentary,cropland,9.6025,0.170509052,3.004447189,109.8463769,10.12208365,6.94E-05,54.31578947,16.53050601
AVON AT EVESHAM,UK,52.0862421,-1.9517935,Humid Temperate,2210,104.2036372,alfisols,sedimentary,cropland,8.675,0.180623841,2.500268335,554.0851934,9.812921985,7.47E-05,57.84210526,16.65402505
AVON AT GREAT SOMERFORD,UK,51.5449889,-2.0374445,Humid Temperate,303,121.2023988,entisols,sedimentary,cropland,1.82,0.171485473,2.351490433,29.4152856,10.02167672,6.65E-05,58.31578947,16.55357785
AVON AT KNAPP MILL,UK,50.7454039,-1.7830956,Humid Temperate,1706,121.8131447,alfisols,carbonate_evaporite,cropland,14.5,0.164642313,2.351490433,68.44875143,10.43473501,6.77E-05,65.68421053,16.41106357
AVON AT LODDISWELL,UK,50.3115795,-3.8074606,Humid Temperate,102.3,212.7603306,entisols,sedimentary,cropland,2.14,0.180315392,3.657403946,38.89663953,10.64976034,8.17E-05,71,16.33648085
AXE AT WHITFORD,UK,50.7525886,-3.04753,Humid Temperate,288.5,143.6916803,entisols,sedimentary,cropland,2.87,0.179517003,3.657403946,37.86115301,10.66003246,7.45E-05,51.21052632,16.41231451
Barr Creek,MD,-35.60466,143.93106,Semi-Arid,277.5,78.57346939,oxisol,sedimentary,cropland,0.021,0.125667947,1.252803395,23.13208216,16.04484269,5.44E-05,122.1052632,14.51174864
BARWON RIVER AT BREWARRINA,Australia,-29.95,146.9,Semi-Arid,201529,390.5035718,oxisol,sedimentary,shrubland_grassland,13.168,0.131241605,1.754408261,61.65768541,17.58564839,5.57E-05,107.3684211,14.02848623
BARWON RIVER AT COLLARENEBRI MAIN CHANNEL,Australia,-29.55,148.6,Semi-Arid,86170.1,398.9345814,oxisol,sedimentary,shrubland_grassland,3.319,0.132683081,1.920993601,57.53476458,17.82230571,5.38E-05,89.10526316,13.99685232
BARWON RIVER AT DANGAR BRIDGE WALGETT,Australia,-30.02,148.1,Semi-Arid,131764,398.6346514,oxisol,sedimentary,shrubland_grassland,6.216,0.13088727,1.860136962,65.52764113,17.59358062,5.62E-05,96.10526316,14.03405266
BARWON RIVER AT MUNGINDI,Australia,-28.98,149,Humid Subtropical,38537.5,463.1678284,oxisol,sedimentary,shrubland_grassland,2.3615,0.130242668,1.724534213,56.18927448,17.44083263,6.41E-05,124.9473684,13.95227503
BEAVER RIVER ABOVE HIGHWAY 1 IN GLACIER NATIONAL PARK,Canada,51.38336,-117.449,Tundra,533,1914.239209,spodosols,sedimentary,evergreen_needleleaf_forest,18.8,0.643536283,2.135919051,495.117654,-2.029085644,0.175572245,136.3157895,16.52422016
BEDFORD OUSE AT OFFORD,UK,52.3535477,0.04536277,Humid Temperate,2570,86.98306734,inceptisols,sedimentary; carbonate_evaporite,cropland,6.739,0.167929226,2.351490433,424.8043773,10.0744477,6.96E-05,58.52631579,16.70489324
BEDFORD OUSE AT THORNBOROUGH MILL,UK,52.0139166,-0.9246271,Humid Temperate,388.5,116.8084337,inceptisols,sedimentary; carbonate_evaporite,cropland,1.218,0.170394912,2.351490433,68.72733727,10.03795428,6.34E-05,60.10526316,16.64040751
BGZOB_FLUME,Catalina Jemez,32.415164,-110.72426,Semi-Arid,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,14.23960008
BILLABONG CREEK AT DARLOT,Australia,-35.04,144.4,Semi-Arid,57924.4,428.5646805,oxisol,sedimentary,cropland,4.7,0.183439728,1.521620024,94.31762239,14.27314802,6.83E-05,139.2631579,14.46006942
BILLABONG CREEK AT JERILDERIE,Australia,-35.35,145.7,Semi-Arid,43863.2,528.2909565,oxisol,sedimentary,cropland,2.754,0.184568129,1.764341712,115.0697398,13.62561108,7.76E-05,141.8947368,14.48833553
BILLABONG CREEK AT WALBUNDRIE,Australia,-35.69,146.7,Humid Subtropical,2805.1,321.4136471,oxisol,sedimentary,cropland,0.68,0.142673096,2.104971546,36.76485486,14.2214033,6.87E-05,142.4736842,14.51963422
Biscuit Brook,USGS,41.99608333,-74.50022222,Humid Continental,9.634428,881.7307692,spodosols,sedimentary,deciduous_broadleaf_forest,0.18689119,0.274710059,3.719588825,598.5680424,6.835748987,0.925455594,118.6315789,15.18084625
BK01.0M,UMR,43.8412807,-91.25102941,Humid Continental,5385,262.4094203,alfisols,sedimentary,cropland,NA,0.444466545,2.854663375,722.9733595,7.959873127,0.630251826,103.5263158,15.40126989
BK14.2M,UMR,43.9595886,-91.339908,Humid Continental,5385,332.5566279,alfisols,sedimentary,cropland,29.998,0.479250527,2.780035949,730.9724597,7.00134594,0.630761291,111.7368421,15.41597588
BLACKWATER AT LANGFORD,UK,51.7514009,0.65844917,Humid Temperate,337,66.78220452,mollisols,sedimentary,cropland,0.697,0.174828962,2.210941762,256.4285525,10.2902913,6.50E-05,62.57894737,16.59149068
BLACKWATER AT OWER,UK,50.9342792,-1.5004508,Humid Temperate,104.7,65.70434783,inceptisols,carbonate_evaporite,cropland,0.418,0.159067,2.351490433,67.24608043,10.4445854,7.32E-05,70.15789474,16.4441233
BM00.7S,UMR,37.578333,-89.509509,Humid Subtropical,5591.8,144.8232097,alfisols,sedimentary,cropland,28.866,0.217293504,3.271029724,726.3265296,13.34745971,0.612426255,87.89473684,14.71089563
BOGUE PHALIA,USGS,33.39666667,-90.8477778,Humid Subtropical,1253.554,41.43232524,alfisols,sedimentary,cropland,4.199437,0.165468139,4.028409784,631.8495926,17.9438425,0.341549302,121.0526316,14.32395728
Borja,HYBAM,-4.47,-77.54,Tropical Savanna,114899,2163.842317,entisols,sedimentary,shrubland_grassland,4684,0.357933772,3.798288799,157.9106105,13.48828147,0.000126773,295.7368421,12.37428427
Brazos River near Rosharon,USGS,29.3496858,-95.5824448,Humid Subtropical,117427.5,533.6595701,mollisols,sedimentary,shrubland_grassland,65.373,0.184319529,2.155073852,424.1608836,17.7492382,0.38483736,76.05263158,13.989247
Broken Creek,MD,-35.96779,144.9619,Semi-Arid,3327.9,134.1022503,oxisol,sedimentary,cropland,2.644,0.129479805,1.585706349,40.74907752,15.72426429,5.59E-05,145.7894737,14.54544199
