Abbrieviation,Observation Network,Link
AND,HJ Andrews Experimental Forest,https://andrewsforest.oregonstate.edu/
ARC,Arctic LTER,https://lternet.edu/site/arctic-lter/
Australia,"Australian Government data compiled by Lintern et al., (2021)",https://onlinelibrary.wiley.com/doi/10.1002/hyp.14423
Cameroon,"Nyong river basin data compiled by Viers et al., (2000)",https://doi.org/10.1016/S0009-2541(00)00298-9
CAMREX,Carbon in the Amazon River Experiment,https://daac.ornl.gov/LBA/guides/Pre_LBA_CAMREX.html
Canada,Environment Canada,https://www.canada.ca/en/environment-climate-change/services/water-overview/quantity/monitoring/survey/data-products-services/explorer.html
Catalina Jemez,Catalina Jemez CZO,https://czo-archive.criticalzone.org/catalina-jemez/
Elbe,River Basin Community Elbe,https://www.fgg-elbe.de/fgg-elbe-en/organisation.html
Finnish Environmental Institute,Finnish Environmental Institute,https://www.syke.fi/en
GRO,Arctic Great Rivers Observatory,https://arcticgreatrivers.org/
HBR,Hubbard Brook LTER,https://hubbardbrook.org/hubbard-brook-lter/
HYBAM,HYdro-geochemistry of the AMazonian Basin,https://hybam.obs-mip.fr/overview/
KRR,Kissimmee River Restoration Project,https://www.sfwmd.gov/our-work/kissimmee-river
Krycklan,Krycklan Catchment Study,https://www.slu.se/en/departments/forest-ecology-management/environment/krycklan/
LMP,Lamprey River,https://wrrc.unh.edu/lamprey-river-hydrologic-observatory
LUQ,Luquillo LTER,https://luquillo.lter.network/
MCM,McMurdo Dry Valleys LTER,https://mcm.lternet.edu/
Murray Darling Basin Authority,Murray Darling Basin Authority,https://www.mdba.gov.au/
NIVA,Norweigan Institute for Water Research,https://www.niva.no/en
NWT,Niwot Ridge LTER,https://nwt.lternet.edu/
Sagehen,Sagehen Creek Field Station,https://sagehen.ucnrs.org/
UK,UK Centre for Ecology & Hydrology,https://nrfa.ceh.ac.uk/data
UMR,Upper Mississippi River Restoration Program,https://www.mvr.usace.army.mil/Missions/Environmental-Stewardship/Upper-Mississippi-River-Restoration/
USGS,United States Geological Survey,https://waterdata.usgs.gov/nwis/rt
Walker Branch,Walker Branch Watershed,https://walkerbranch.ornl.gov/
